neighborhood group,shape id,point id,longitude,latitude,,,,,,,,
Delridge,5,15,-122.3397397,47.54364876,,,,,,,,
Delridge,5,16,-122.3359631,47.54248998,,,,,,,,
Delridge,5,17,-122.3356198,47.53947704,,,,,,,,
Delridge,5,18,-122.3424862,47.53994058,,,,,,,,
Delridge,5,19,-122.3356198,47.53321885,,,,,,,,
Delridge,5,20,-122.3339032,47.52232318,,,,,,,,
Delridge,5,21,-122.3321866,47.51629482,,,,,,,,
Delridge,5,22,-122.3349331,47.51629482,,,,,,,,
Delridge,5,23,-122.3393963,47.51420792,,,,,,,,
Delridge,5,24,-122.3414563,47.51675856,,,,,,,,
Delridge,5,25,-122.3654889,47.5172223,,,,,,,,
Delridge,5,26,-122.3754452,47.5172223,,,,,,,,
Downtown,6,0,-122.3591441,47.61723208,,,,,,,,
Downtown,6,1,-122.3570842,47.61752137,,,,,,,,
Downtown,6,2,-122.3565692,47.61850492,,,,,,,,
Downtown,6,3,-122.3289317,47.61809993,,,,,,,,
Downtown,6,4,-122.3309917,47.61260334,,,,,,,,
Downtown,6,5,-122.3301334,47.61190899,,,,,,,,
Downtown,6,6,-122.3277301,47.61387628,,,,,,,,
Downtown,6,7,-122.3139972,47.61393414,,,,,,,,
Downtown,6,8,-122.3170013,47.61254548,,,,,,,,
Downtown,6,9,-122.3162288,47.61231403,,,,,,,,
Downtown,6,10,-122.3167438,47.60803205,,,,,,,,
Downtown,6,11,-122.3173446,47.60045093,,,,,,,,
Downtown,6,12,-122.3182887,47.59854101,,,,,,,,
Downtown,6,13,-122.3139972,47.59854101,,,,,,,,
Downtown,6,14,-122.3118514,47.59564705,,,,,,,,
Downtown,6,15,-122.3289317,47.59587858,,,,,,,,
Downtown,6,16,-122.3291034,47.59257929,,,,,,,,
Downtown,6,17,-122.3425788,47.59286871,,,,,,,,
Downtown,6,18,-122.3395748,47.59888827,,,,,,,,
Downtown,6,19,-122.3372573,47.59911978,,,,,,,,
Downtown,6,20,-122.3373432,47.59981429,,,,,,,,
Downtown,6,21,-122.3397464,47.59987217,,,,,,,,
Downtown,6,22,-122.3397464,47.60039305,,,,,,,,
Downtown,6,23,-122.3364848,47.60033518,,,,,,,,
Downtown,6,24,-122.3361415,47.60114543,,,,,,,,
Downtown,6,25,-122.3413772,47.60149267,,,,,,,,
Downtown,6,26,-122.3395748,47.60346036,,,,,,,,
Downtown,6,27,-122.3423213,47.60374972,,,,,,,,
Interbay,7,0,-122.4019508,47.66546406,,,,,,,,
Interbay,7,1,-122.3940544,47.6624582,,,,,,,,
Interbay,7,2,-122.3887329,47.66303626,,,,,,,,
Interbay,7,3,-122.3822098,47.6591053,,,,,,,,
Interbay,7,4,-122.3820381,47.65552093,,,,,,,,
Interbay,7,5,-122.376545,47.65552093,,,,,,,,
Interbay,7,6,-122.376545,47.65679283,,,,,,,,
Interbay,7,7,-122.375,47.65656158,,,,,,,,
Interbay,7,8,-122.375515,47.63227437,,,,,,,,
Interbay,7,9,-122.3573189,47.6183909,,,,,,,,
Interbay,7,10,-122.3595505,47.61781234,,,,,,,,
Interbay,7,11,-122.3664169,47.621515,,,,,,,,
Interbay,7,12,-122.3722534,47.62579588,,,,,,,,
Interbay,7,13,-122.3774033,47.62625865,,,,,,,,
Interbay,7,14,-122.3786049,47.63262141,,,,,,,,
Interbay,7,15,-122.3798065,47.63354684,,,,,,,,
Interbay,7,16,-122.3792915,47.62614296,,,,,,,,
Interbay,7,17,-122.3810082,47.62602726,,,,,,,,
Interbay,7,18,-122.3810082,47.63158028,,,,,,,,
Interbay,7,19,-122.3822098,47.63169597,,,,,,,,
Interbay,7,20,-122.3825531,47.62591157,,,,,,,,
Interbay,7,21,-122.3842697,47.62602726,,,,,,,,
Interbay,7,22,-122.3839264,47.63204301,,,,,,,,
Interbay,7,23,-122.385128,47.63262141,,,,,,,,
Interbay,7,24,-122.3859863,47.63123324,,,,,,,,
Interbay,7,25,-122.3889046,47.63077051,,,,,,,,
Interbay,7,26,-122.3923378,47.63169597,,,,,,,,
Interbay,7,27,-122.385643,47.63771106,,,,,,,,
Interbay,7,28,-122.3859863,47.64118099,,,,,,,,
